AC_YEAR,STATCD,DISTCD,STATNAME,DISTNAME,DISTRICTS
2015-16,1,101,JAMMU & KASHMIR,KUPWARA,1
2015-16,1,102,JAMMU & KASHMIR,BARAMULA,1
2015-16,1,103,JAMMU & KASHMIR,SRINAGAR,1
2015-16,1,104,JAMMU & KASHMIR,BADGAM,1
2015-16,1,105,JAMMU & KASHMIR,PULWAMA,1
2015-16,1,106,JAMMU & KASHMIR,ANANTNAG,1
2015-16,1,107,JAMMU & KASHMIR,LEH (LADAKH),1
2015-16,1,108,JAMMU & KASHMIR,KARGIL,1
2015-16,1,109,JAMMU & KASHMIR,DODA,1
2015-16,1,110,JAMMU & KASHMIR,UDHAMPUR,1
2015-16,1,111,JAMMU & KASHMIR,PUNCH,1
2015-16,1,112,JAMMU & KASHMIR,RAJAURI,1
2015-16,1,113,JAMMU & KASHMIR,JAMMU,1
2015-16,1,114,JAMMU & KASHMIR,KATHUA,1
2015-16,1,115,JAMMU & KASHMIR,SHOPIAN,1
2015-16,1,116,JAMMU & KASHMIR,BANDIPORA,1
2015-16,1,117,JAMMU & KASHMIR,KISHTWAR,1
2015-16,1,118,JAMMU & KASHMIR,RAMBAN,1
2015-16,1,119,JAMMU & KASHMIR,GANDERBAL,1
